Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
KTM,KTM RC 200 2022,2022,215000,Yes,"Uzhavarkarai, Pondicherry", Pondicherry
Hero,Hero Mavrick 440,2024,200000,Yes,Akola, Maharashtra
Ola,Ola S1 Air 3kWh,2024,95000,Yes,"Hadapsar, Pune", Maharashtra
TVS,TVS Jupiter SmartXonnect Disc 2024,2025,100000,Yes,Mathura, Uttar Pradesh
Hero,Hero Maestro Edge,2017,55000,Yes,"Angamaly, Ernakulam", Kerala
Honda,Honda Shine 125 Disc,2012,22000,Yes,"Nedumangad, Trivandrum", Kerala
Royal Enfield,Royal Enfield Shotgun 650,2024,400000,Yes,Lucknow, Uttar Pradesh
KTM,KTM Duke 200,2016,60000,Yes,Kolkata, West Bengal
BMW,BMW G 310 RR,2022,300000,Yes,"Hebbal, Bangalore", Karnataka
TVS,TVS Apache,2019,79500,Yes,Bangalore, Karnataka
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022,200000,Yes,Ahmedabad, Gujarat
Bajaj,Bajaj Pulsar 125,2023,60000,Yes,"Pilana, Bagpat", Uttar Pradesh
Honda,Honda Activa 4G,2018,45000,Yes,"Hinjewadi, Pune", Maharashtra
Suzuki,Suzuki Access 125,2014,20000,Yes,Theni, Tamil Nadu
TVS,TVS Apache RTR 200 4V,2017,50000,Yes,"Ambattur, Chennai", Tamil Nadu
Honda,Honda Activa 125,2021,50000,Yes,South Delhi, Delhi
Hero,Hero Karizma XMR,2023,180000,Yes,Karimnagar, Telangana
Suzuki,Suzuki Access 125 Special Edition,2015,30000,Yes,Ahmedabad, Gujarat
Honda,Honda CB350 DLX Pro,2023,215000,Yes,Jalna, Maharashtra
Yamaha,Yamaha FZ-S FI V3 BS6,2021,110000,Yes,Ludhiana, Punjab
Bajaj,Bajaj Pulsar N250 Dual Channel ABS,2022,90000,Yes,Madurai, Tamil Nadu
Vespa,Vespa SXL 125 BS6,2021,85000,Yes,Howrah, West Bengal
Yamaha,Yamaha YZF R15 V3,2019,150000,Yes,Bikaner, Rajasthan
Bajaj,Bajaj Chetak Urbane Standard,2022,60000,Yes,Pune, Maharashtra
Revolt,Revolt RV 400,2023,110000,Yes,Chennai, Tamil Nadu
Yamaha,Yamaha Fazer 125,2015,35000,Yes,Jaipur, Rajasthan
Royal Enfield,Royal Enfield Scram 411,2023,180000,Yes,Coimbatore, Tamil Nadu
Honda,Honda SP125,2019,65000,Yes,Mumbai, Maharashtra
Honda,Honda Aviator,2018,50000,Yes,"Ghatal, Paschim Medinipur", West Bengal
Bajaj,Bajaj Pulsar 150,2015,38000,Yes,Bhopal, Madhya Pradesh
Bajaj,Bajaj Pulsar 220F BS6,2023,115000,Yes,Aurangabad, Maharashtra
Bajaj,Bajaj Avenger Cruise 220,2017,75000,Yes,"Mira-Bhayandar, Thane", Maharashtra
Honda,Honda CB Hornet 160R,2016,45000,Yes,Amritsar, Punjab
Hero,Hero CD Deluxe,2005,35000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Hunter 350 Metro,2022,175000,Yes,North 24 Parganas, West Bengal
Honda,Honda Activa,2024,55000,Yes,Mumbai, Maharashtra
Vier,Vier Model V4,2021,30000,Yes,Ahmedabad, Gujarat
Royal Enfield,Royal Enfield Hunter 350 Metro,2024,180000,Yes,"Ongole, Prakasam", Andhra Pradesh
Honda,Honda Dream Yuga,2015,25000,Yes,Erode, Tamil Nadu
Hero,Hero Xtreme 160R 4V Pro,2024,120000,Yes,"Ambattur, Chennai", Tamil Nadu
Bajaj,Bajaj Pulsar NS125 2022,2022,75000,Yes,"Khair, Aligarh", Uttar Pradesh
Royal Enfield,Royal Enfield Thunderbird X 500,2019,150000,Yes,Jalandhar, Punjab
Suzuki,Suzuki Access 125 Special Edition,2018,40000,Yes,Srinagar, Jammu Kashmir
KOMAKI,KOMAKI X-One,2025,29000,Yes,"Mayur Vihar, East Delhi", Delhi
Yamaha,Yamaha Aerox 155,2023,132000,Yes,Coimbatore, Tamil Nadu
Royal Enfield,Royal Enfield 2022 Meteor 350,2022,195000,Yes,"Shaikpet, Hyderabad", Telangana
Bajaj,Bajaj Pulsar NS 200 BS6,2022,118000,Yes,"Badgam, Srinagar", Jammu Kashmir
Yamaha,Yamaha Fazer,2014,50000,Yes,Ludhiana, Punjab
Jawa,Jawa 42 Bobber Black Mirror,2023,199000,Yes,"Secunderabad, Hyderabad", Telangana
Aprilia,Aprilia SR 160 Race ABS,2023,95000,Yes,"Tirumalagiri, Hyderabad", Telangana
Harley,Harley Davidson X 440,2025,300000,Yes,Bhilwara, Rajasthan
Yamaha,Yamaha R15 V4,2023,170000,Yes,"Kanjhawala, North West Delhi", Delhi
Suzuki,Suzuki Gixxer SF Fi,2020,90000,Yes,Kolkata, West Bengal
Honda,Honda Shine 125,2022,50000,Yes,"Mehrauli, South Delhi", Delhi
Bajaj,Bajaj Avenger Street 160,2019,65000,Yes,"Wakad, Pune", Maharashtra
Bajaj,Bajaj Pulsar NS 125,2022,110000,Yes,Thane, Maharashtra
Hero,Hero Glamour 125 Disc,2017,45000,Yes,Noida, Uttar Pradesh
BMW,BMW G 310 R BS6,2021,215000,Yes,Ernakulam, Kerala
Hero,Hero Xtreme 160R Stealth Edition,2022,40000,Yes,Ghaziabad, Uttar Pradesh
KTM,KTM RC 125,2021,129999,Yes,"Ruksin, East Siang", Arunachal Pradesh
Royal Enfield,Royal Enfield Classic 350,2018,90000,Yes,"Punhana, Mewat", Haryana
Honda,Honda Shine 125,2010,15000,Yes,Tiruvallur, Tamil Nadu
Suzuki,Suzuki V-Strom SX,2025,210000,Yes,"Dahisar, Mumbai", Maharashtra
Honda,Honda CB Shine SP,2017,30000,Yes,Munger, Bihar
Ducati,Ducati Scrambler Icon,2017,430000,Yes,"Anna Nagar, Chennai", Tamil Nadu
Suzuki,Suzuki Gixxer SF 250 BS6,2023,180000,Yes,"Mapusa, North Goa", Goa
Yezdi,Yezdi Scrambler Dual Tone,2022,168000,Yes,"Balussery, Kozhikode", Kerala
Ola,Ola S1 Pro,2023,85000,Yes,West Delhi, Delhi
Yamaha,Yamaha MT-15 Ver 2.0,2024,140000,Yes,Ghaziabad, Uttar Pradesh
Honda,Honda CB350RS DLX Pro 2025,2025,220000,Yes,Pune, Maharashtra
Honda,Honda Shine,2014,30000,Yes,Chennai, Tamil Nadu
Royal Enfield,Royal Enfield Bullet Electra,2008,50000,Yes,"Sundar Nagar, Mandi", Himachal Pradesh
Bajaj,Bajaj Chetak 3502 Standard,2025,120000,Yes,"Mahabaleshwar, Satara", Maharashtra
Royal Enfield,Royal Enfield Meteor 350 Stellar,2022,165000,Yes,Allahabad, Uttar Pradesh
Yezdi,Yezdi Roadster Dark,2022,180000,Yes,"Burhar, Shahdol", Madhya Pradesh
Bajaj,Bajaj Pulsar 125 Neon,2021,55000,Yes,Kanpur, Uttar Pradesh
Hero,Hero HF Deluxe i3s,2023,65000,Yes,"Ambattur, Chennai", Tamil Nadu
Hero,Hero Cycles Lectro C4+,2025,25000,Yes,Chennai, Tamil Nadu
Royal Enfield,Royal Enfield Hunter 350 Retro,2022,160000,Yes,"Yelahanka, Bangalore", Karnataka
Ola,Ola S1 Pro Gen2,2024,110000,Yes,"Dhaulana, Hapur", Uttar Pradesh
Royal Enfield,Royal Enfield Thunderbird 350,2016,120000,Yes,"Electronic City, Bangalore", Karnataka
Royal Enfield,Royal Enfield Thunderbird X 350,2018,120000,Yes,Kolhapur, Maharashtra
Yamaha,Yamaha R15 V4,2023,150000,Yes,Deoria, Uttar Pradesh
Hero,Hero Xtreme 160R,2021,75000,Yes,"Wai, Satara", Maharashtra
Bajaj,Bajaj Pulsar 200 NS,2020,115000,Yes,Belgaum, Karnataka
Honda,Honda CB Unicorn,2014,100000,Yes,South Delhi, Delhi
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,150000,Yes,Noida, Uttar Pradesh
Vespa,Vespa 125,2013,30000,Yes,Mumbai, Maharashtra
Bajaj,Bajaj Pulsar 150 DTSi,2017,50000,Yes,Kolkata, West Bengal
Royal Enfield,Royal Enfield Classic 350,2017,121000,Yes,Begusarai, Bihar
Hero,Hero Pleasure,2017,30000,Yes,"Danapur, Patna", Bihar
Bajaj,Bajaj Avenger 180 DTS-i,2006,30000,Yes,"Aluva, Ernakulam", Kerala
Honda,Honda Activa 6G Dlx,2025,110000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Avenger Street 160 BS6,2022,83000,Yes,"Dankuni, Hooghly", West Bengal
Jawa,Jawa 42 FJ,2025,260000,Yes,"Khairatabad, Hyderabad", Telangana
Bajaj,Bajaj Pulsar 150,2012,40000,Yes,Shillong, Meghalaya
Bajaj,Bajaj Avenger Street 150,2017,50000,Yes,Kolkata, West Bengal
Hero,Hero Xtreme 160R,2022,100000,Yes,Banka, Bihar
Honda,Honda XBlade,2018,60000,Yes,Mumbai, Maharashtra
Bajaj,Bajaj Pulsar 200 NS,2018,80000,Yes,Mumbai, Maharashtra
Benelli,Benelli Imperiale 400,2020,130000,Yes,"Bhiwandi, Thane", Maharashtra
Bajaj,Bajaj Pulsar 150 DTSi,2019,60000,Yes,"Murthal, Sonipat", Haryana
Bajaj,Bajaj Avenger Street 160 BS6,2022,100000,Yes,Malda, West Bengal
Yamaha,Yamaha FZ-S,2023,115000,Yes,Lucknow, Uttar Pradesh
Honda,Honda Shine 125,2009,10000,Yes,"Bhavani, Erode", Tamil Nadu
TVS,TVS Raider 125,2024,80000,Yes,Jodhpur, Rajasthan
Suzuki,Suzuki Gixxer SF Fi,2018,60000,Yes,Budaun, Uttar Pradesh
Jawa,Jawa forty two,2023,120000,Yes,"Hathin, Palwal", Haryana
Yamaha,Yamaha YZF R15 S,2019,60000,Yes,"Kalyani, Nadia", West Bengal
Royal Enfield,Royal Enfield Continental GT 650,2024,350000,Yes,Navi Mumbai, Maharashtra
Bajaj,Bajaj Dominar 250 2022,2024,200000,Yes,"Islampur, North Dinajpur", West Bengal
Royal Enfield,Royal Enfield Classic 350,2017,100000,Yes,New Delhi, Delhi
Yamaha,Yamaha YZF R15 V3,2020,120000,Yes,"Palladam, Tirupur", Tamil Nadu
Jawa,Jawa 42 Dual Channel ABS Orion Red,2021,99000,Yes,"Badkhal, Faridabad", Haryana
Yamaha,Yamaha FZ,2014,52500,Yes,Udupi, Karnataka
Royal Enfield,Royal Enfield Classic 350 BS VI,2020,175000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Continental GT 650,2022,325000,Yes,"Ambattur, Chennai", Tamil Nadu
Hero,Hero Glamour PGM Fi,2018,50000,Yes,"Arjuni Morgaon, Gondia", Maharashtra
Yamaha,Yamaha FZ-S FI V3,2021,80000,Yes,Vadodara, Gujarat
Bajaj,Bajaj Avenger Street 220,2016,49200,Yes,"Annur, Coimbatore", Tamil Nadu
Ola,Ola S1 Pro,2022,85000,Yes,Pimpri-Chinchwad, Maharashtra
Royal Enfield,Royal Enfield Classic 350 BS VI,2022,150000,Yes,North 24 Parganas, West Bengal
Honda,Honda CB300F,2022,145000,Yes,"Indiranagar, Bangalore", Karnataka
Vespa,Vespa VX 125,2014,25000,Yes,Udaipur, Rajasthan
Bajaj,Bajaj Pulsar NS200,2022,110000,Yes,"Whitefield, Bangalore", Karnataka
Honda,Honda Activa 125 BS6,2020,52000,Yes,Balangir, Orissa
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,175000,Yes,Thane, Maharashtra
Hero,Hero Glamour BS6,2020,65000,Yes,Hyderabad, Telangana
Yezdi,Yezdi Adventure Gloss 2024,2024,189000,Yes,Jabalpur, Madhya Pradesh
Benelli,Benelli TNT 300,2020,240000,Yes,Anakapalli, Andhra Pradesh
Hero,Hero Xtreme 125R,2025,100000,Yes,"Saraipali, Mahasamund", Chhattisgarh
Honda,Honda SP 125 BSVI,2024,85000,Yes,Jodhpur, Rajasthan
Honda,Honda SP 125 BSVI,2024,90000,Yes,"Wakad, Pune", Maharashtra
Suzuki,Suzuki Gixxer 250,2020,110000,Yes,Bhopal, Madhya Pradesh
TVS,TVS Raider 125,2021,70000,Yes,Kolkata, West Bengal
Honda,Honda Activa 3G,2015,26000,Yes,"Sanganer, Jaipur", Rajasthan
Hero,Hero HF Deluxe i3s,2021,50000,Yes,"Wakad, Pune", Maharashtra
TVS,TVS Apache RTR 160 4V,2019,70000,Yes,Hathras, Uttar Pradesh
Royal Enfield,Royal Enfield Thunderbird,2016,75000,Yes,Raigad, Maharashtra
Yamaha,Yamaha Fazer,2010,30000,Yes,Ambala, Haryana
Honda,Honda Activa,2009,15000,Yes,Ambala, Haryana
KTM,KTM RC 390,2015,171000,Yes,"Malad, Mumbai", Maharashtra
Honda,Honda CB350 DLX Pro,2023,190000,Yes,Gurgaon, Haryana
Bajaj,Bajaj V15,2017,30000,Yes,Mangalore, Karnataka
Okinawa,Okinawa Ridge,2019,40000,Yes,Chennai, Tamil Nadu
TVS,TVS Apache RR 310,2022,240000,Yes,Bhopal, Madhya Pradesh
Yamaha,Yamaha FZ16,2013,32000,Yes,Vadodara, Gujarat
Kawasaki,Kawasaki Ninja 300 BS6,2024,350000,Yes,"Harhua, Varanasi", Uttar Pradesh
Bajaj,Bajaj Pulsar 125 Neon Disc Single Seat,2024,85000,Yes,Sagar, Madhya Pradesh
Bajaj,Bajaj Pulsar 150,2019,60000,Yes,Ujjain, Madhya Pradesh
Royal Enfield,Royal Enfield Himalayan 2021,2022,270000,Yes,"Dwarka, South West Delhi", Delhi
Ola,Ola S1X 3 kWh,2024,75000,Yes,"Harhua, Varanasi", Uttar Pradesh
Hero,Hero Cycles Lectro C5x,2024,23000,Yes,"KR Puram, Bangalore", Karnataka
TVS,TVS Apache RTR 200 4V Race Edition 2.0,2018,60000,Yes,Bangalore, Karnataka
Yezdi,Yezdi Roadster Dual Tone,2023,185000,Yes,Solan, Himachal Pradesh
Bajaj,Bajaj Dominar 250 2022,2022,125000,Yes,"Junnar, Pune", Maharashtra
TVS,TVS Apache RTR 180,2017,60000,Yes,Bangalore, Karnataka
Bajaj,Bajaj Pulsar 180,2012,25000,Yes,"Goregaon, Mumbai", Maharashtra
Suzuki,Suzuki Gixxer 150,2017,50000,Yes,Chennai, Tamil Nadu
Royal Enfield,Royal Enfield Meteor 350 Stellar,2023,180000,Yes,Guwahati, Assam
Royal Enfield,Royal Enfield Thunderbird 350,2014,65000,Yes,Pune, Maharashtra
Yamaha,Yamaha R15 V4,2023,182000,Yes,"BTM Layout, Bangalore", Karnataka
Yamaha,Yamaha YZF R15 V3 BS6,2020,105000,Yes,"Vikhroli, Mumbai", Maharashtra
Yamaha,Yamaha R15M,2023,190000,Yes,Vadodara, Gujarat
Royal Enfield,Royal Enfield Super Meteor 650,2024,449000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Classic 350,2023,220000,Yes,"Dadar, Mumbai", Maharashtra
Hero,Hero Passion XTec,2022,58000,Yes,Amritsar, Punjab
TVS,TVS NTORQ 125 XT,2022,90000,Yes,Kolkata, West Bengal
Okinawa,Okinawa R30,2022,40000,Yes,"Banashankari, Bangalore", Karnataka
Royal Enfield,Royal Enfield Himalayan 450,2025,300000,Yes,"Wakad, Pune", Maharashtra
Royal Enfield,Royal Enfield Hunter 350 Retro,2025,190000,Yes,Hyderabad, Telangana
Yezdi,Yezdi Roadster Dual Tone,2023,160000,Yes,Mumbai, Maharashtra
Triumph,Triumph Speed 400,2024,220000,Yes,Gurgaon, Haryana
Benelli,Benelli Imperiale 400 BS6,2020,120000,Yes,Jaipur, Rajasthan
KTM,KTM Duke 390,2021,250000,Yes,"Hebbal, Bangalore", Karnataka
Yezdi,Yezdi Roadster Dark,2022,200000,Yes,Hosur, Tamil Nadu
Ola,Ola S1,2022,80000,Yes,Bangalore, Karnataka
Hero,Hero Maestro Edge,2016,50000,Yes,Baleswar, Orissa
Yamaha,Yamaha FZ-S FI V2,2014,40000,Yes,Shahdara, Delhi
Royal Enfield,Royal Enfield Thunderbird 350,2015,70000,Yes,Bangalore, Karnataka
Yamaha,Yamaha R15 V4,2023,180000,Yes,Satna, Madhya Pradesh
Bajaj,Bajaj Dominar 400 ABS BS6,2022,240000,Yes,"Berhampore, Murshidabad", West Bengal
Hero,Hero Xtreme 125R,2025,110000,Yes,Bangalore, Karnataka
Suzuki,Suzuki Gixxer 150,2015,75000,Yes,"Harihar, Davangere", Karnataka
Bajaj,Bajaj XCD 125 DTS-Si,2007,6000,Yes,"Pataudi, Gurgaon", Haryana
Honda,Honda Activa,2011,21000,Yes,Lucknow, Uttar Pradesh
TVS,TVS Apache RTR 160 4V,2024,95000,Yes,Sundergarh, Orissa
UM,UM Renegade Commando,2017,50000,Yes,Gurgaon, Haryana
KTM,KTM Duke 250 2022,2022,151999,Yes,Mumbai, Maharashtra
Yamaha,Yamaha FZ-X Hybrid,2023,120000,Yes,Hyderabad, Telangana
Hero,Hero Xtreme 160R 2024 Edition,2024,145000,Yes,New Delhi, Delhi
TVS,TVS Ronin TD,2023,140000,Yes,Madhubani, Bihar
Yamaha,Yamaha Cygnus Ray ZR,2020,70000,Yes,Varanasi, Uttar Pradesh
Ola,Ola S1 Pro,2023,102000,Yes,Navi Mumbai, Maharashtra
Honda,Honda CB Unicorn,2012,49000,Yes,"Pathardi, Ahmednagar", Maharashtra
Ola,Ola S1 Pro Gen2,2023,115000,Yes,Coimbatore, Tamil Nadu
Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2023,125000,Yes,Hyderabad, Telangana
Honda,Honda Unicorn,2010,35000,Yes,"Alandur, Chennai", Tamil Nadu
Bajaj,Bajaj Avenger Cruise 220 BS6,2020,100000,Yes,"Dera Bassi, Mohali", Punjab
BMW,BMW G 310 R,2019,220000,Yes,Bangalore, Karnataka
Yezdi,Yezdi Adventure Matte,2022,185000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Himalayan,2018,100000,Yes,Navi Mumbai, Maharashtra
Royal Enfield,Royal Enfield Meteor 350 Supernova,2020,230000,Yes,Mysore, Karnataka
Royal Enfield,Royal Enfield Classic Desert Storm,2018,155000,Yes,"Godhra, Panch Mahals", Gujarat
Yamaha,Yamaha R15 V4,2023,175000,Yes,Coimbatore, Tamil Nadu
TVS,TVS Apache RTR 200 4V ABS,2020,95000,Yes,"Electronic City, Bangalore", Karnataka
Yezdi,Yezdi Roadster Dark,2024,160000,Yes,Noida, Uttar Pradesh
TVS,TVS Apache RTR 160 4V,2018,55000,Yes,Thane, Maharashtra
Suzuki,Suzuki Gixxer SP,2016,45000,Yes,Hyderabad, Telangana
Yamaha,Yamaha R15M,2023,180000,Yes,Bareilly, Uttar Pradesh
TVS,TVS Apache RTR 160 4V BS6,2020,90000,Yes,Khammam, Telangana
Benelli,Benelli TNT 25,2017,110000,Yes,"KR Puram, Bangalore", Karnataka
Royal Enfield,Royal Enfield Classic Gunmetal Grey,2021,160000,Yes,Lucknow, Uttar Pradesh
Royal Enfield,Royal Enfield Classic 350 BS VI,2020,160000,Yes,Coimbatore, Tamil Nadu
Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2022,111000,Yes,Jaipur, Rajasthan
Royal Enfield,Royal Enfield Hunter 350 Retro,2022,250000,Yes,Jaipur, Rajasthan
Hero,Hero HF Deluxe BS6,2022,75000,Yes,Hyderabad, Telangana
Hero,Hero Splendor Plus Xtec,2023,80000,Yes,"Ambattur, Chennai", Tamil Nadu
Yamaha,Yamaha R15 V4,2025,220000,Yes,Chennai, Tamil Nadu
Hero,Hero Splendor Plus,2005,25000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Interceptor 650 Twin,2020,257000,Yes,Nellore, Andhra Pradesh
Yamaha,Yamaha FZ FI V3 BS6,2022,90000,Yes,"Rajajinagar, Bangalore", Karnataka
Royal Enfield,Royal Enfield Thunderbird 350,2011,30000,Yes,Chennai, Tamil Nadu
Jawa,Jawa Perak,2021,170000,Yes,Kaithal, Haryana
Royal Enfield,Royal Enfield Hunter Rebel,2022,165000,Yes,North Delhi, Delhi
Bajaj,Bajaj Discover 125 ST,2013,32000,Yes,Bangalore, Karnataka
TVS,TVS Apache RTR 200 4V 2020,2020,80000,Yes,"Saket, South Delhi", Delhi
Honda,Honda Shine 125,2025,85000,Yes,South Delhi, Delhi
Yamaha,Yamaha Aerox 155,2024,130000,Yes,Ghaziabad, Uttar Pradesh
Royal Enfield,Royal Enfield Thunderbird 350,2016,120000,Yes,Pune, Maharashtra
TVS,TVS Victor,2017,31000,Yes,"Sarita Vihar, South East Delhi", Delhi
TVS,TVS Raider 125,2024,95000,Yes,Hyderabad, Telangana
TVS,TVS Apache RTR 200 4V ABS,2024,140000,Yes,Mumbai, Maharashtra
TVS,TVS Apache RTR 160 4V,2022,75000,Yes,Gautam Buddha Nagar, Uttar Pradesh
Royal Enfield,Royal Enfield Hunter 350 Retro,2023,170000,Yes,Pune, Maharashtra
Vespa,Vespa LX 125,2018,50000,Yes,Noida, Uttar Pradesh
Royal Enfield,Royal Enfield Classic Squadron Blue,2019,150000,Yes,Kolkata, West Bengal
Bicycle,Bicycle EMotorad,2024,20000,No,Baleswar, Orissa
Bajaj,Bajaj Dominar 400,2017,90000,Yes,Lucknow, Uttar Pradesh
Bajaj,Bajaj Pulsar 150 DTSi,2011,30000,Yes,"Thrippunithura, Ernakulam", Kerala
Benelli,Benelli Imperiale 400 BS6,2021,155000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Classic 350 2024,2024,198000,Yes,Ranchi, Jharkhand
Bajaj,Bajaj Pulsar NS 160,2020,80000,Yes,Indore, Madhya Pradesh
Bajaj,Bajaj Pulsar 150,2011,16000,Yes,"Perumbavoor, Ernakulam", Kerala
Bajaj,Bajaj Pulsar 180,2011,30000,Yes,Aligarh, Uttar Pradesh
TVS,TVS Apache RR 310 2020,2020,190000,Yes,Faridabad, Haryana
Bajaj,Bajaj Pulsar NS200,2017,65000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Bullet 350 ES BS6,2023,195000,Yes,Pune, Maharashtra
Vespa,Vespa VX 125,2014,40000,Yes,"T. Nagar, Chennai", Tamil Nadu
Hero,Hero Xtreme,2013,35000,Yes,Lucknow, Uttar Pradesh
Hero,Hero Passion Pro BS6,2021,79000,Yes,Tirupur, Tamil Nadu
Royal Enfield,Royal Enfield Meteor 350 Fireball,2023,210000,Yes,Bangalore, Karnataka
Ather,Ather 450X Gen 3,2023,100000,Yes,East Delhi, Delhi
Bajaj,Bajaj Pulsar NS 125,2023,60000,Yes,Dahod, Gujarat
Hero,Hero Pleasure Plus BS6,2023,77000,Yes,Pune, Maharashtra
Bajaj,Bajaj Pulsar 125,2022,80000,Yes,Guwahati, Assam
TVS,TVS Apache RTR 160,2019,80000,Yes,Anand, Gujarat
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,155000,Yes,Gurgaon, Haryana
TVS,TVS Apache RTR 180,2013,50000,Yes,"Krishnanagar, Nadia", West Bengal
Royal Enfield,Royal Enfield 2023 Bullet 350,2023,210000,Yes,Pune, Maharashtra
Suzuki,Suzuki Gixxer 150,2019,100000,Yes,"HSR Layout, Bangalore", Karnataka
Royal Enfield,Royal Enfield Interceptor 650 Twin,2022,300000,Yes,Pune, Maharashtra
Bajaj,Bajaj Pulsar 150 DTSi,2018,50000,Yes,Erode, Tamil Nadu
TVS,TVS Apache RTR 160 4V,2019,63100,Yes,"Taliparamba, Kannur", Kerala
Yezdi,Yezdi Adventure Gloss,2023,190000,Yes,Rohtak, Haryana
Benelli,Benelli Imperiale 400 BS6,2020,200000,Yes,"Rajajinagar, Bangalore", Karnataka
BMW,BMW G 310 R,2019,190000,Yes,Madurai, Tamil Nadu
TVS,TVS Jupiter 125,2022,80000,Yes,"Kudal, Sindhudurg", Maharashtra
TVS,TVS Star City 110,2019,48000,Yes,Krishnagiri, Tamil Nadu
TVS,TVS Apache RTR 160,2016,35000,Yes,Bilaspur, Chhattisgarh
Honda,Honda Hness CB350 DLX Pro,2021,150000,Yes,"Andheri East, Mumbai", Maharashtra
KTM,KTM Duke 250,2021,160000,Yes,Gurgaon, Haryana
TVS,TVS XL Super Heavy Duty,2010,7000,Yes,Raipur, Chhattisgarh
Royal Enfield,Royal Enfield Classic 500,2015,120000,Yes,"Mussoorie, Dehradun", Utarakhand
Yamaha,Yamaha SZ-X,2011,21000,Yes,Surat, Gujarat
Keeway,Keeway K-Light 250V,2024,370000,Yes,"Sarjapur Road, Bangalore", Karnataka
Hero,Hero Xtreme 160R Stealth Edition,2022,90000,Yes,Indore, Madhya Pradesh
Royal Enfield,Royal Enfield Classic 350 Redditch Blue,2018,150000,Yes,Rohtak, Haryana
Royal Enfield,Royal Enfield Meteor 350 Fireball,2023,200000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Pulsar 150 DTSi,2018,35000,Yes,Bhagalpur, Bihar
BGauss,BGauss C12i Max,2023,90000,Yes,Pune, Maharashtra
Yamaha,Yamaha FZ-X,2021,95000,Yes,West Delhi, Delhi
Hero,Hero Mavrick 440,2024,195000,Yes,Chennai, Tamil Nadu
Yamaha,Yamaha FZ-S,2012,38000,Yes,"Vasundhara, Ghaziabad", Uttar Pradesh
Royal Enfield,Royal Enfield Hunter 350 Metro,2022,170000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Bullet 350,2023,165000,Yes,New Delhi, Delhi
Royal Enfield,Royal Enfield Classic 350 Single Channel BS6,2021,175000,Yes,"Preet Vihar, East Delhi", Delhi
Benelli,Benelli Imperiale 400,2020,160000,Yes,Mysore, Karnataka
TVS,TVS NTORQ 125 BS6,2021,52000,Yes,Ahmedabad, Gujarat
Bajaj,Bajaj Avenger Street 150,2017,60000,Yes,Jaipur, Rajasthan
BMW,BMW G 310 R,2023,310000,Yes,"Konavattam, Vellore", Tamil Nadu
TVS,TVS Raider Split Seat,2024,95000,Yes,"Roorkee, Haridwar", Utarakhand
Bajaj,Bajaj Pulsar AS 150,2015,40000,Yes,Pune, Maharashtra
Yamaha,Yamaha FZ25,2019,150000,Yes,Haveri, Karnataka
Mahindra,Mahindra Gusto,2015,30000,Yes,Bangalore, Karnataka
Hero,Hero Pleasure Plus BS6,2021,40000,Yes,Kolkata, West Bengal
TVS,TVS Apache RTR 180,2016,52000,Yes,Sivasagar, Assam
Royal Enfield,Royal Enfield Himalayan,2021,150000,Yes,"Mulund East, Mumbai", Maharashtra
Kawasaki,Kawasaki W175 Street,2024,160000,Yes,"HSR Layout, Bangalore", Karnataka
TVS,TVS Apache RTR 160,2015,45000,Yes,Indore, Madhya Pradesh
Royal Enfield,Royal Enfield Hunter 350 Metro,2023,190000,Yes,Pune, Maharashtra
Yamaha,Yamaha R15M,2022,150000,Yes,"Palampur, Kangra", Himachal Pradesh
Honda,Honda Activa 125 BS6,2020,66000,Yes,"Kandivali, Mumbai", Maharashtra
Ampere,Ampere Magnus Ex,2022,40000,Yes,Hyderabad, Telangana
Mahindra,Mahindra Gusto,2017,40000,Yes,East Delhi, Delhi
Ola,Ola S1 Air,2024,85000,Yes,"HSR Layout, Bangalore", Karnataka
Bajaj,Bajaj Pulsar 180 DTSi,2016,40000,Yes,Navi Mumbai, Maharashtra
Honda,Honda Shine,2012,15000,Yes,Noida, Uttar Pradesh
Royal Enfield,Royal Enfield Classic 350,2016,110000,Yes,Ranchi, Jharkhand
Bajaj,Bajaj Chetak Blue 2901 Tecpac,2024,82000,Yes,"Wakad, Pune", Maharashtra
Yamaha,Yamaha Fazer FI V2,2017,45000,Yes,Chennai, Tamil Nadu
BGauss,BGauss B8 Lithium Ion,2022,20000,Yes,Vijayawada, Andhra Pradesh
Bajaj,Bajaj Avenger Cruise 220,2018,50000,Yes,"Rajajinagar, Bangalore", Karnataka
