Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Bajaj,Bajaj Dominar 400 ABS BS6,2020,180000,Yes,East Delhi, Delhi
Yamaha,Yamaha FZ-S FI V3 BS6,2022,120000,Yes,Pune, Maharashtra
Hero,Hero,2021,55000,Yes,"Karhal, Mainpuri", Uttar Pradesh
Yamaha,Yamaha MT-15 Ver 2.0,2023,155000,Yes,Chennai, Tamil Nadu
Yamaha,Yamaha FZ-S FI V3,2021,85000,Yes,Chennai, Tamil Nadu
Yamaha,Yamaha R15 V4,2023,200000,Yes,Muzaffarpur, Bihar
Yamaha,Yamaha FZ16,2009,20000,Yes,Mumbai, Maharashtra
Bajaj,Bajaj Pulsar 150 DTSi,2011,22000,Yes,Hyderabad, Telangana
Husqvarna,Husqvarna Vitpilen 250 2024,2024,218500,Yes,Kolkata, West Bengal
Vida,Vida V2 Lite,2025,85000,Yes,Lucknow, Uttar Pradesh
Royal Enfield,Royal Enfield Classic 350 BS VI,2018,148000,Yes,"Pandalam, Pathanamthitta", Kerala
TVS,TVS NTORQ 125 Race Edition,2023,85000,Yes,"Chembur, Mumbai", Maharashtra
Bajaj,Bajaj Pulsar 150,2011,25000,Yes,Varanasi, Uttar Pradesh
Honda,Honda Activa i,2017,25000,Yes,Gwalior, Madhya Pradesh
Royal Enfield,Royal Enfield Classic 500,2016,100000,Yes,"Kundara, Kollam", Kerala
Bajaj,Bajaj Discover 100T,2015,20000,Yes,"Bara, Allahabad", Uttar Pradesh
TVS,TVS NTORQ 125 Race XP,2024,89000,Yes,Mumbai, Maharashtra
Royal Enfield,Royal Enfield Classic 350 BS VI,2022,165000,Yes,"Rohini, North West Delhi", Delhi
TVS,TVS Apache RR 310 2020,2020,200000,Yes,"Tirumalagiri, Hyderabad", Telangana
Ola,Ola S1X Plus,2024,85000,Yes,South East Delhi, Delhi
TVS,TVS Raider Split Seat,2023,100000,Yes,Pune, Maharashtra
Honda,Honda Activa,2012,12000,Yes,North Delhi, Delhi
Jawa,Jawa Perak,2022,145000,Yes,Gurgaon, Haryana
Honda,Honda Activa 4G,2017,29000,Yes,Gorakhpur, Uttar Pradesh
Jawa,Jawa forty two,2020,82000,Yes,Faridabad, Haryana
TVS,TVS Star City Plus,2016,30000,Yes,Pimpri-Chinchwad, Maharashtra
Suzuki,Suzuki Avenis Special Edition 2025,2023,70000,Yes,"Badshahpur, Gurgaon", Haryana
Revolt,Revolt RV400 BRZ,2024,115000,Yes,Ahmedabad, Gujarat
Yamaha,Yamaha Ray,2012,22000,Yes,Pimpri-Chinchwad, Maharashtra
KTM,KTM Duke 250,2019,100000,Yes,Allahabad, Uttar Pradesh
Ola,Ola S1 Pro,2022,90000,Yes,"Andheri East, Mumbai", Maharashtra
TVS,TVS Apache RTR 160,2011,30000,Yes,Pimpri-Chinchwad, Maharashtra
Royal Enfield,Royal Enfield Classic 500,2019,100000,Yes,Noida, Uttar Pradesh
Bajaj,Bajaj Pulsar 220 DTSi,2014,57000,Yes,Indore, Madhya Pradesh
BMW,BMW G 310 R,2018,145000,Yes,Hyderabad, Telangana
TVS,TVS Apache RR 310,2019,145000,Yes,West Champaran, Bihar
Honda,Honda Activa,2011,35000,Yes,Ahmedabad, Gujarat
TVS,TVS iQube S,2022,110000,Yes,"Guindy, Chennai", Tamil Nadu
Hero,Hero Splendor Plus Black and Accent,2022,60000,Yes,Gurgaon, Haryana
KTM,KTM Duke 390 2024,2024,299999,Yes,Coimbatore, Tamil Nadu
TVS,TVS Apache RTR 160 4V,2018,78000,Yes,"Sohna, Gurgaon", Haryana
Honda,Honda Activa 4G,2017,42000,Yes,"Mulund, Mumbai", Maharashtra
Ronflant,Ronflant Brisk,2024,45000,Yes,Kolkata, West Bengal
Hero,Hero Xoom ZX,2023,75000,Yes,Shamli, Uttar Pradesh
Keeway,Keeway SR 250,2024,175000,Yes,Coimbatore, Tamil Nadu
TVS,TVS Apache RTR 160,2017,43000,Yes,"Barasat, North 24 Parganas", West Bengal
Bajaj,Bajaj Avenger Street 180,2018,45000,Yes,Thane, Maharashtra
Royal Enfield,Royal Enfield Interceptor 650 Twin,2019,350000,Yes,Ghaziabad, Uttar Pradesh
TVS,TVS Sport,2023,52000,Yes,Thane, Maharashtra
Jawa,Jawa forty two,2021,120000,Yes,Kolkata, West Bengal
Suzuki,Suzuki Access 125 Special Edition,2019,49000,Yes,Varanasi, Uttar Pradesh
Bajaj,Bajaj Pulsar 150 DTSi,2015,40000,Yes,Pune, Maharashtra
Royal Enfield,Royal Enfield Meteor 350 Stellar,2022,185000,Yes,Noida, Uttar Pradesh
Royal Enfield,Royal Enfield Super Meteor 650,2023,350000,Yes,Jalpaiguri, West Bengal
Bajaj,Bajaj Freedom 125 NG04 Disc LED,2024,105000,Yes,"Andheri East, Mumbai", Maharashtra
Suzuki,Suzuki Access 125,2013,50000,Yes,Bhopal, Madhya Pradesh
TVS,TVS Apache RR 310,2023,225000,Yes,"Hadapsar, Pune", Maharashtra
Royal Enfield,Royal Enfield Classic 350 Redditch Red,2023,200000,Yes,"Sarjapur Road, Bangalore", Karnataka
Royal Enfield,Royal Enfield Thunderbird 350,2017,110000,Yes,Meerut, Uttar Pradesh
Hero,Hero Splendor Plus IBS i3s,2020,50000,Yes,"Nangal Chaudhary, Mahendragarh", Haryana
Ather,Ather 450X,2022,110000,Yes,Indore, Madhya Pradesh
Yamaha,Yamaha FZS 25,2021,99000,Yes,Kolkata, West Bengal
Hero,Hero Passion XTec,2023,75000,Yes,Kolkata, West Bengal
Royal Enfield,Royal Enfield Classic 350,2019,150000,Yes,"Electronic City, Bangalore", Karnataka
Bajaj,Bajaj Pulsar 150,2015,40000,Yes,"Bally, Howrah", West Bengal
Hero,Hero Splendor,2024,60000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield Classic 500,2015,110000,Yes,New Delhi, Delhi
Royal Enfield,Royal Enfield Continental GT 650 Twin,2020,280000,Yes,Gorakhpur, Uttar Pradesh
